Date_DD_MM_YY	Date_YYYY_MM_DD	Latitude	Longitude	Place	Value
12-Jul-69	19690712	-67.60269444	62.87380556	Mawson	1004
15-Jul-69	19690715	-67.60269444	62.87380556	Mawson	1034
16-Jul-69	19690716	-67.60269444	62.87380556	Mawson	1060
18-Jul-69	19690718	-67.60269444	62.87380556	Mawson	1058
21-Jul-69	19690721	-67.60269444	62.87380556	Mawson	1082
23-Jul-69	19690723	-67.60269444	62.87380556	Mawson	1099
25-Jul-69	19690725	-67.60269444	62.87380556	Mawson	1112
26-Jul-69	19690726	-67.60269444	62.87380556	Mawson	1130
30-Jul-69	19690730	-67.60269444	62.87380556	Mawson	1144
31-Jul-69	19690731	-67.60269444	62.87380556	Mawson	1145
2-Aug-69	19690802	-67.60269444	62.87380556	Mawson	1155
5-Aug-69	19690805	-67.60269444	62.87380556	Mawson	1156
8-Aug-69	19690808	-67.60269444	62.87380556	Mawson	1169
9-Aug-69	19690809	-67.60269444	62.87380556	Mawson	1175
12-Aug-69	19690812	-67.60269444	62.87380556	Mawson	1192
14-Aug-69	19690814	-67.60269444	62.87380556	Mawson	1200
17-Aug-69	19690817	-67.60269444	62.87380556	Mawson	1223
19-Aug-69	19690819	-67.60269444	62.87380556	Mawson	1236
22-Aug-69	19690822	-67.60269444	62.87380556	Mawson	1246
28-Aug-69	19690828	-67.60269444	62.87380556	Mawson	1255
30-Aug-69	19690830	-67.60269444	62.87380556	Mawson	1252
2-Sep-69	19690902	-67.60269444	62.87380556	Mawson	1254
3-Sep-69	19690903	-67.60269444	62.87380556	Mawson	1272
4-Sep-69	19690904	-67.60269444	62.87380556	Mawson	1272
6-Sep-69	19690906	-67.60269444	62.87380556	Mawson	1287
9-Sep-69	19690909	-67.60269444	62.87380556	Mawson	1294
10-Sep-69	19690910	-67.60269444	62.87380556	Mawson	1290
11-Sep-69	19690911	-67.60269444	62.87380556	Mawson	1293
12-Sep-69	19690912	-67.60269444	62.87380556	Mawson	1293
15-Sep-69	19690915	-67.60269444	62.87380556	Mawson	1305
18-Sep-69	19690918	-67.60269444	62.87380556	Mawson	1302
19-Sep-69	19690919	-67.60269444	62.87380556	Mawson	1293
20-Sep-69	19690920	-67.60269444	62.87380556	Mawson	1304
22-Sep-69	19690922	-67.60269444	62.87380556	Mawson	1290
24-Sep-69	19690924	-67.60269444	62.87380556	Mawson	1303
26-Sep-69	19690926	-67.60269444	62.87380556	Mawson	1293
27-Sep-69	19690927	-67.60269444	62.87380556	Mawson	1303
30-Sep-69	19690930	-67.60269444	62.87380556	Mawson	1300
1-Oct-69	19691001	-67.60269444	62.87380556	Mawson	1305
4-Oct-69	19691004	-67.60269444	62.87380556	Mawson	1305
6-Oct-69	19691006	-67.60269444	62.87380556	Mawson	1308
8-Oct-69	19691008	-67.60269444	62.87380556	Mawson	1303
9-Oct-69	19691009	-67.60269444	62.87380556	Mawson	1308
11-Oct-69	19691011	-67.60269444	62.87380556	Mawson	1302
13-Oct-69	19691013	-67.60269444	62.87380556	Mawson	1298
14-Oct-69	19691014	-67.60269444	62.87380556	Mawson	1297
16-Oct-69	19691016	-67.60269444	62.87380556	Mawson	1296
17-Oct-69	19691017	-67.60269444	62.87380556	Mawson	1296
21-Oct-69	19691021	-67.60269444	62.87380556	Mawson	1290
22-Oct-69	19691022	-67.60269444	62.87380556	Mawson	1289
